Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSizeScaleFactor	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrixScaleFactor	migModel.t:h3n2_2deme.rateMatrix_backward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_backward_NewZealand_HongKong	migModel.t:h3n2_2deme.rateMatrix_forward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_forward_NewZealand_HongKong	clockRate.c:h3n2_2deme	gammaShape.s:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme.1	freqParameter.s:h3n2_2deme.2	freqParameter.s:h3n2_2deme.3	freqParameter.s:h3n2_2deme.4
21000	-4679.34683956801	-4569.617692853488	-109.72914671452243	-4569.617692853488	7.86823014317708	48.38989571590903	26.47072561994412	21.919170095964912	10	9	29	30	1	1.0	1.499847609695416	1.3940685942187991	1.0	0.37320450624913937	0.4331007556731771	0.4025556714651948	0.40152248529707346	0.0036873749806835996	0.22386144380590522	6.311042567705936	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
22000	-4674.443734792984	-4564.544328775414	-109.89940601756963	-4564.544328775414	8.214381934905443	49.10119440284039	30.93624990229184	18.164944500548554	11	12	31	28	1	1.0	1.6426964958498909	0.764093564935956	1.0	0.3715525127851131	0.5859590369061529	0.2725564524835847	0.7987870056561522	0.0035017780311527467	0.22386144380590522	6.311042567705936	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
23000	-4671.750976961437	-4566.537576903725	-105.21340005771229	-4566.537576903725	7.824046264546953	48.14377891657793	31.49115608868567	16.652622827892266	9	12	32	27	0	1.0	1.4603359404553893	0.8803267213364887	1.0	0.2927138641443272	0.5982434203863821	0.36063597028615263	0.4855703748610264	0.003267068726128488	0.21066255547523693	5.824610723076144	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
24000	-4669.142672712915	-4562.874993193617	-106.26767951929783	-4562.874993193617	8.30733744217946	50.387704224809674	35.32692215992642	15.060782064883242	3	11	37	22	0	1.0	1.3895051532688099	0.5723491353244432	1.0	0.2813032932376885	0.832747639132715	0.34301592194877945	0.6829264717307285	0.0035083887296786177	0.21066255547523693	5.824610723076144	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
25000	-4665.393352417038	-4559.6735528778245	-105.71979953921314	-4559.6735528778245	7.76643776012952	49.08696812681205	34.53961956047391	14.547348566338133	2	11	38	21	0	1.0	1.794691697133015	0.6443394212312566	1.0	0.21864007631124838	0.6429564937801664	0.2308375392503338	0.6089826521346657	0.003359077761931975	0.21066255547523693	5.824610723076144	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
26000	-4663.702137198852	-4562.272340667067	-101.42979653178546	-4562.272340667067	7.715523449193301	49.3278136517649	33.32111248843687	16.006701163328025	2	9	36	23	0	1.0	1.9302653112619108	0.6866424194987775	1.0	0.17055890813886965	0.6935584148510746	0.2467156329539723	0.4794692762318525	0.003661187588624664	0.21066255547523693	5.824610723076144	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
27000	-4670.890913742333	-4573.867306559801	-97.02360718253212	-4573.867306559801	7.654909250011572	46.55502817663831	33.522401636217474	13.032626540420821	3	11	37	22	0	1.0	2.41234144650791	0.5475578669054634	1.0	0.21481625178169528	0.6320967689677105	0.14347453134995505	0.9464025245133256	0.003632560751466597	0.283509894858488	5.824610723076144	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
28000	-4661.009329145665	-4563.554543256879	-97.45478588878622	-4563.554543256879	7.621058856450075	46.80769095598136	32.80476159151122	14.002929364470134	4	10	35	24	0	1.0	1.6755699379802664	0.6977571031740492	1.0	0.2287465879241263	0.8123330908944855	0.3382796333754904	0.5493041982628445	0.003518790513132648	0.283509894858488	5.824610723076144	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
29000	-4683.407191034079	-4570.89216460569	-112.51502642838898	-4570.89216460569	7.316039645957426	47.62095164318776	33.37543572382301	14.24551591936477	6	15	38	21	0	1.0	1.8981027388289897	0.7096104938013331	1.0	0.18590713475790427	0.6748403082249892	0.2522907504216624	0.4972739900752088	0.00286401184124155	0.283509894858488	5.824610723076144	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
30000	-4661.740181582935	-4557.337265126147	-104.40291645678838	-4557.337265126147	7.380394234854103	47.81874448613044	33.509113918260375	14.309630567870059	6	13	36	23	0	1.0	1.7130781243117505	0.7615587257805316	1.0	0.19064681259490945	0.6349081246939955	0.28225205585642854	0.4288479313153059	0.0038320604293450126	0.283509894858488	5.824610723076144	0.3941206887481202	0.23244026400063933	0.16472503740796235	0.2087140098432781
